sensor_id,tiimestamp,temperature C,dewpoint C,humidity,vpd
455975.50502675504,2025-08-31T18:17:57.000Z,22.4,13.2,55.98,1.19
455975.50502675504,2025-08-31T18:17:06.000Z,22.4,13.2,55.95,1.19
455975.50502675504,2025-08-31T18:14:58.000Z,22.4,13.2,55.95,1.19
455975.50502675504,2025-08-31T18:14:46.000Z,22.4,13.2,55.92,1.19
455975.50502675504,2025-08-31T18:13:59.000Z,22.4,13.2,55.92,1.19
455975.50502675504,2025-08-31T18:12:59.000Z,22.4,13.2,55.89,1.19
455975.50502675504,2025-08-31T18:10:59.000Z,22.4,13.2,55.89,1.19
455975.50502675504,2025-08-31T18:22:08.000Z,22.5,13.2,56.01,1.19
455975.50502675504,2025-08-31T18:20:03.000Z,22.5,13.2,56.01,1.19
455975.50502675504,2025-08-31T18:19:01.000Z,22.5,13.2,55.98,1.19
455975.50502675504,2025-08-31T18:17:57.000Z,22.4,13.2,55.98,1.19
455975.50502675504,2025-08-31T18:17:06.000Z,22.4,13.2,55.95,1.19
455975.50502675504,2025-08-31T18:14:58.000Z,22.4,13.2,55.95,1.19
455975.50502675504,2025-08-31T18:14:46.000Z,22.4,13.2,55.92,1.19
455975.50502675504,2025-08-31T18:13:59.000Z,22.4,13.2,55.92,1.19
455975.50502675504,2025-08-31T18:48:15.000Z,22.5,13.3,56.23,1.19
455975.50502675504,2025-08-31T18:46:55.000Z,22.5,13.3,56.19,1.19
455975.50502675504,2025-08-31T18:44:53.000Z,22.5,13.3,56.19,1.19
455975.50502675504,2025-08-31T18:44:28.000Z,22.5,13.3,56.19,1.19
455975.50502675504,2025-08-31T18:42:59.000Z,22.5,13.3,56.19,1.19
455975.50502675504,2025-08-31T18:39:59.000Z,22.5,13.3,56.16,1.19
455975.50502675504,2025-08-31T18:38:59.000Z,22.5,13.3,56.16,1.19
455975.50502675504,2025-08-31T18:53:19.000Z,22.5,13.4,56.26,1.18
455975.50502675504,2025-08-31T18:51:53.000Z,22.5,13.3,56.23,1.19
455975.50502675504,2025-08-31T18:50:19.000Z,22.5,13.3,56.23,1.19
455975.50502675504,2025-08-31T18:48:15.000Z,22.5,13.3,56.23,1.19
455975.50502675504,2025-08-31T18:46:55.000Z,22.5,13.3,56.19,1.19
455975.50502675504,2025-08-31T18:44:53.000Z,22.5,13.3,56.19,1.19
455975.50502675504,2025-08-31T18:44:28.000Z,22.5,13.3,56.19,1.19
455975.50502675504,2025-08-31T19:18:58.000Z,22.5,13.4,56.41,1.19
455975.50502675504,2025-08-31T19:18:02.000Z,22.5,13.4,56.38,1.19
455975.50502675504,2025-08-31T19:15:58.000Z,22.5,13.4,56.38,1.19
455975.50502675504,2025-08-31T19:11:59.000Z,22.5,13.4,56.38,1.19
455975.50502675504,2025-08-31T19:10:59.000Z,22.5,13.4,56.35,1.19
455975.50502675504,2025-08-31T19:24:04.000Z,22.5,13.4,56.44,1.19
455975.50502675504,2025-08-31T19:23:09.000Z,22.5,13.4,56.41,1.19
455975.50502675504,2025-08-31T19:21:10.000Z,22.5,13.4,56.41,1.19
455975.50502675504,2025-08-31T19:18:58.000Z,22.5,13.4,56.41,1.19
455975.50502675504,2025-08-31T19:18:02.000Z,22.5,13.4,56.38,1.19
455975.50502675504,2025-08-31T19:15:58.000Z,22.5,13.4,56.38,1.19
