sensor_id,tiimestamp,temperature C,dewpoint C,humidity,vpd
500449.7751399281,2025-08-31T18:04:32.000Z,23.4,13.9,55.1,1.28
500449.7751399281,2025-08-31T18:03:23.000Z,23.4,13.8,55.1,1.28
500449.7751399281,2025-08-31T18:02:50.000Z,23.4,13.8,55.07,1.28
500449.7751399281,2025-08-31T18:01:27.000Z,23.4,13.8,55.04,1.28
500449.7751399281,2025-08-31T18:00:15.000Z,23.4,13.8,55.0,1.28
500449.7751399281,2025-08-31T17:59:59.000Z,23.4,13.8,55.0,1.28
500449.7751399281,2025-08-31T17:59:15.000Z,23.4,13.8,54.97,1.28
500449.7751399281,2025-08-31T17:58:15.000Z,23.3,13.8,54.97,1.28
500449.7751399281,2025-08-31T17:57:15.000Z,23.4,13.8,54.91,1.29
500449.7751399281,2025-08-31T17:56:15.000Z,23.3,13.8,54.91,1.29
500449.7751399281,2025-08-31T17:55:15.000Z,23.3,13.8,54.88,1.29
500449.7751399281,2025-08-31T18:06:27.000Z,23.4,13.9,55.13,1.28
500449.7751399281,2025-08-31T18:05:42.000Z,23.4,13.8,55.13,1.28
500449.7751399281,2025-08-31T18:04:32.000Z,23.4,13.9,55.1,1.28
500449.7751399281,2025-08-31T18:03:23.000Z,23.4,13.8,55.1,1.28
500449.7751399281,2025-08-31T18:02:50.000Z,23.4,13.8,55.07,1.28
500449.7751399281,2025-08-31T18:01:27.000Z,23.4,13.8,55.04,1.28
500449.7751399281,2025-08-31T18:00:15.000Z,23.4,13.8,55.0,1.28
500449.7751399281,2025-08-31T17:59:59.000Z,23.4,13.8,55.0,1.28
500449.7751399281,2025-08-31T17:59:15.000Z,23.4,13.8,54.97,1.28
500449.7751399281,2025-08-31T17:58:15.000Z,23.3,13.8,54.97,1.28
500449.7751399281,2025-08-31T18:38:23.000Z,23.4,13.9,55.1,1.29
500449.7751399281,2025-08-31T18:37:39.000Z,23.4,13.9,55.13,1.29
500449.7751399281,2025-08-31T18:36:29.000Z,23.4,13.9,55.1,1.29
500449.7751399281,2025-08-31T18:36:15.000Z,23.4,13.9,55.13,1.29
500449.7751399281,2025-08-31T18:35:15.000Z,23.4,13.9,55.1,1.29
500449.7751399281,2025-08-31T18:33:15.000Z,23.4,13.9,55.19,1.28
500449.7751399281,2025-08-31T18:32:15.000Z,23.4,13.9,55.22,1.28
500449.7751399281,2025-08-31T18:31:15.000Z,23.4,13.9,55.19,1.28
500449.7751399281,2025-08-31T18:30:15.000Z,23.4,13.9,55.19,1.28
500449.7751399281,2025-08-31T18:29:15.000Z,23.4,13.9,55.22,1.28
500449.7751399281,2025-08-31T18:42:27.000Z,23.4,13.9,55.07,1.29
500449.7751399281,2025-08-31T18:41:29.000Z,23.4,13.9,55.1,1.29
500449.7751399281,2025-08-31T18:40:26.000Z,23.4,13.9,55.1,1.29
500449.7751399281,2025-08-31T18:38:23.000Z,23.4,13.9,55.1,1.29
500449.7751399281,2025-08-31T18:37:39.000Z,23.4,13.9,55.13,1.29
500449.7751399281,2025-08-31T18:36:29.000Z,23.4,13.9,55.1,1.29
500449.7751399281,2025-08-31T18:36:15.000Z,23.4,13.9,55.13,1.29
500449.7751399281,2025-08-31T18:35:15.000Z,23.4,13.9,55.1,1.29
500449.7751399281,2025-08-31T19:13:23.000Z,23.5,14.1,55.74,1.28
500449.7751399281,2025-08-31T19:12:35.000Z,23.5,14.1,55.71,1.28
500449.7751399281,2025-08-31T19:12:15.000Z,23.5,14.1,55.68,1.28
500449.7751399281,2025-08-31T19:12:11.000Z,23.5,14.1,55.68,1.28
500449.7751399281,2025-08-31T19:10:15.000Z,23.5,14.1,55.65,1.27
500449.7751399281,2025-08-31T19:08:15.000Z,23.5,14.0,55.58,1.27
500449.7751399281,2025-08-31T19:07:15.000Z,23.4,14.0,55.55,1.27
500449.7751399281,2025-08-31T19:05:15.000Z,23.4,14.0,55.49,1.28
500449.7751399281,2025-08-31T19:19:22.000Z,23.5,14.2,55.83,1.27
500449.7751399281,2025-08-31T19:18:22.000Z,23.5,14.2,55.83,1.27
500449.7751399281,2025-08-31T19:17:35.000Z,23.5,14.2,55.8,1.27
500449.7751399281,2025-08-31T19:15:27.000Z,23.5,14.2,55.77,1.27
500449.7751399281,2025-08-31T19:13:23.000Z,23.5,14.1,55.74,1.28
500449.7751399281,2025-08-31T19:12:35.000Z,23.5,14.1,55.71,1.28
500449.7751399281,2025-08-31T19:12:15.000Z,23.5,14.1,55.68,1.28
500449.7751399281,2025-08-31T19:12:11.000Z,23.5,14.1,55.68,1.28
500449.7751399281,2025-08-31T19:10:15.000Z,23.5,14.1,55.65,1.27
